artist,album,track,uri
Malcolm Todd,Sweet Boy,Roommates,spotify:track:5vPUv0xziXbV4lnWeVNXNq
Rubi Rose,Big Mouth,Big Mouth,spotify:track:3MPTswx7dlPqibY1ikZqgE
The Weeknd,Beauty Behind The Madness,Earned It (Fifty Shades Of Grey),spotify:track:4frLb7nWtsz2ymBE6k2GRP
SZA,SOS,Seek & Destroy,spotify:track:6eT2V7nKXyMf47TwPbtgAD
J Balvin,OASIS,COMO UN BEBÉ,spotify:track:7knLcYCOSaURD0d7HUULFM
Kali Uchis,Isolation,Your Teeth In My Neck,spotify:track:54IbnYEdA3ymfxv07WgN3b
Wizkid,"More Love, Less Ego",Slip N Slide (feat. Skillibeng & Shenseea),spotify:track:1w5cQpiBrPmwcIgRrz1Jcc
Malcolm Todd,4Me 4Me,4Me 4Me,spotify:track:07oVB2BTnBp1RBQ5gdbWLA
"Tyler, The Creator",Cherry Bomb + Instrumentals,"OKAGA, CA (feat. Alice Smith, Leon Ware & Clem Creevy)",spotify:track:3QZY1nrt8MKrlnotFwRwcm
Steve Lacy,C U Girl,C U Girl,spotify:track:6FBzhcfgGacfXF3AmtfEaX
Akalé Wubé,Sost,Fikratchin,spotify:track:25CT8DTP50tGRuzXwr2KmP
The Hails,He Seems Upset,Younger,spotify:track:6kE3BJhZYLIfGLQY2hSzaM
Kesha,We R Who We R,We R Who We R,spotify:track:7FeG6WaqNQ3Ua6M6YZTQ0F
Aminé,ONEPOINTFIVE,CANTU,spotify:track:3OzwuqlBU5IInWGKhIDhTq
Yung Filly,Grey,Grey,spotify:track:4Fuf1v4kPQ6RIvEGlUfvaq
PinkPantheress,Heaven knows,Another life (feat. Rema),spotify:track:1ljtQrsf55VCwjqXjro7Po
1999 WRITE THE FUTURE,hella (˃̣̣̥╭╮˂̣̣̥) ✧ ♡ ‧º·˚,SPIKY BOiz,spotify:track:6VY0e7CeU2vb3hgU9X5eDR
Nicki Minaj,Pink Friday 2,Needle (feat. Drake),spotify:track:4I4G0LD277PWvfblYtSf91
Kali Uchis,Moonlight,Moonlight,spotify:track:2i2gDpKKWjvnRTOZRhaPh2
Clairo,Charm,Sexy to Someone,spotify:track:3awweDjWIuXNMogMClJnvE
Yung Hurn,1220,Eisblock,spotify:track:2khyQMO05KJtPMuHgdj5XR
PinkPantheress,Heaven knows,The aisle,spotify:track:6SjxVgMjH3b3AI4wVviZfi
Chance the Rapper,Coloring Book,All We Got (feat. Kanye West & Chicago Children's Choir),spotify:track:3ZLyt2ndLFBh148XRYjYYZ
Cuco,Para Mi,Bossa No Sé (feat. Jean Carter),spotify:track:3kEsMLO3qUUwiXeCndsMIb
dacelynn,80's makeout session,80's makeout session,spotify:track:6iYCxsk2wgJhex5IUMyZE4
